state,year,sid,cdl,caselaw,anywhere,assumption,civil,homicide_c,robbery_gun_r,jhcitizen_c,jhpolice_c,homicide,robbery,assault,burglary,larceny,motor,murder,hc_felonywsus,jhcitizen,jhpolice,population,police,unemployrt,income,blackm_15_24,whitem_15_24,blackm_25_44,whitem_25_44,prisoner,poverty,northeast,midwest,south,west,effyear,treatment_date,post,time_til,f2001,f2002,f2003,f2004,f2005,f2006,f2007,f2008,f2009,f2010,castle,lhomicide,castle_sum,d2005,d2006,d2007,d2008,d2009,d2010,dinf
Arkansas,2000,4,0,0,0,0,0,168,.47876063,0,2,6.462801,76.976578,341.87448,824.89197,2682.8318,266.66748,6.462801,1.6926384,.038469054,.11540716,2599492,283.709278582123,4.1999998,37600,1.4365499,5.4123268,2.0820606,11.242081,458.3588,15.19373785339597,0,0,1,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,1.8660628,0,0,0,0,0,0,0,1
Florida,2000,10,0,0,0,0,0,903,.22801723,12,20,5.7908993,203.98972,577.21735,1108.7872,3323.8223,571.91382,5.707531,,.083368428,.13467208,15593433,413.4945781342697,3.8,49196,1.2267472,2.1707792,2.3019562,5.2502551,457.3656,12.03967721540215,0,0,1,0,2005,2005,0,-5,0,0,0,0,0,0,0,0,0,0,0,1.7562876,6,1,0,0,0,0,0,0
Arizona,2000,3,0,1,0,0,0,359,.41524521,7,18,7.1502805,149.45879,355.34305,1033.7434,3519.4717,860.50342,7.2299495,1.4539567,.15933773,.37842712,5020782,358.9679854652124,4,50370,.26902184,4.0020657,.56620663,9.4672308,528.00537,12.88169850832002,0,0,0,1,2006,2005,0,-5,0,0,0,0,0,0,0,0,0,0,0,1.9671516,5,0,1,0,0,0,0,0
Colorado,2000,6,0,0,0,0,0,134,.3256427,1,5,3.1917636,72.267242,224.49532,646.28448,2687.8223,403.99628,3.0250297,.35728696,.047638264,.14291479,4198306,322.3919361761625,2.7,61077,.31917635,5.1907125,.74272811,12.638526,400.94742,9.166316128457526,0,0,0,1,,,0,,0,0,0,0,0,0,0,0,0,0,0,1.1605736,0,0,0,0,0,0,0,1
Indiana,2000,15,0,1,0,0,0,352,.39223176,2,2,5.9637456,106.43253,217.49034,696.47058,2451.6924,357.31647,5.2521625,.84712297,.050827377,.050827377,5902331,264.0821058663094,2.9000001,51740,.10809289,3.3498631,.1670357,6.2777061,342.49179,8.968033138094086,0,1,0,0,2006,2006,0,-6,0,0,0,0,0,0,0,0,0,0,0,1.7856988,5,0,1,0,0,0,0,0
Connecticut,2000,7,0,0,0,0,0,98,.35307932,1,0,2.9718349,116.20481,195.59526,528.74402,2077.1914,397.22516,2.9718349,.394223,.060649693,.030324847,3297626,295.2730236843111,2.3,63523,.73568076,4.3054004,1.3634657,11.711607,556.61255,7.381916566645216,1,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,1.0891795,0,0,0,0,0,0,0,1
Vermont,2000,46,0,0,0,0,0,9,.23076923,0,0,1.5304378,19.895693,72.270676,595.34033,2241.9214,137.56935,1.7004865,.34009731,.17004865,.17004865,588067,211.2004244414327,2.7,50130,18.556728,55.125862,35.983994,131.03625,288.57257,9.052709980325371,1,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,.42555386,0,0,0,0,0,0,0,1
Delaware,2000,8,0,0,0,0,0,25,.46269727,0,1,3.2937338,183.6586,463.75772,687.20465,2814.1663,415.14221,3.1619844,.26349872,.13174936,.26349872,759017,391.8225810489093,3.3,63768,1.5692666,4.686193,2.9050732,10.923076,911.83728,8.876481027434169,0,0,1,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,1.1920218,0,0,0,0,0,0,0,1
California,2000,5,0,0,0,0,0,2079,.34686053,23,103,6.2901087,182.28607,418.78992,672.5575,1972.2168,550.75513,6.2901087,1.0559152,.072613083,.3146567,33051894,313.8882146965617,4.9000001,59274,.50634015,2.8180654,1.0736934,7.4689851,493.1669,13.02469686003471,0,0,0,1,,,0,,0,0,0,0,0,0,0,0,0,0,0,1.8389783,0,0,0,0,0,0,0,1
Virginia,2000,47,0,0,0,0,0,401,.4805401,3,2,5.8564796,91.936501,169.86711,444.47903,2134.5918,260.15329,5.7688513,.6426062,.058418747,.043814059,6847117,298.1254738308108,2.3,59714,.24762246,4.4850411,.54428744,10.432712,440.59421,9.068605078604616,0,0,1,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,1.7675487,0,0,0,0,0,0,0,1
Kentucky,2000,18,0,1,0,0,0,193,.29084766,1,1,4.9147367,82.913902,187.49849,644.46716,1862.5325,236.16202,1.833477,.28011453,.050929915,.050929915,3926965,251.3900684116105,4.3000002,45916,3.2335658,5.0753698,4.7599611,10.36625,379.91171,14.01418143528145,0,0,1,0,2006,2006,0,-6,0,0,0,0,0,0,0,0,0,0,0,1.5922382,5,0,1,0,0,0,0,0
